city,stars,business_count
Terrytown,3.0,3
Rockledge,3.5,1
Wenonah,3.0,2
PHILA,4.0,1
Collinsville,4.5,10
New Palestine,2.5,2
Ewing Township,3.0,5
Ewing Township,2.0,3
Phoenixville,2.0,11
Vail,2.5,2
East Norristown,2.0,1
Glen Carbon,4.5,1
Conshohocken,2.5,26
Metairie,5.0,42
Malvern,2.5,7
Sunset Hills,3.0,1
Glassboro,3.5,22
Jamison,4.5,4
Yardley,3.5,19
Berwyn,2.0,5
Conshohocken,3.0,44
Arnold,3.0,30
Lester,1.5,1
Oro Valley,3.5,41
King Of Prussia,4.5,7
Willow Grove,1.0,1
Oro Valley,2.5,23
Foster Pond,3.5,1
Moorestown,5.0,9
Rockledge,4.5,3
Philadelphia,2.0,544
St. Peters,4.0,1
Southampton,5.0,5
indianopolis,4.0,1
Elmwood,3.0,2
Bensalem,5.0,7
Elverson,2.0,1
Virginia City,4.5,10
Temple Terrace,2.5,8
Feasterville Trevose,4.0,13
St Louis,3.5,40
Hudson,5.0,3
Devon,3.0,3
Bridgeport,1.5,1
Feasterville,1.0,1
Maplewood,4.0,19
Cinnaminson,2.0,6
Ridley Park,4.5,5
Woolwich Township,4.5,1
Darby,5.0,1
McCordsville,4.5,3
Gilbertsville,2.0,1
Arabi,4.5,9
Elkins Park,3.5,13
Carson City,3.0,1
Tarpon Springs,5.0,16
St.  Charles,5.0,1
Madeira Beach,4.0,32
Maple Shade Township,5.0,1
Saint Albert,4.5,4
Cinnaminson,2.5,8
Mt Laurel,4.5,1
Media,5.0,9
Vincentown,5.0,1
Harleysville,3.5,16
Reno Sparks,3.5,1
Wyndmoor,4.0,7
Land O Lakes,2.5,6
Abington,4.5,14
Claymont,4.5,3
Santa Barbra,3.5,1
Hendersonville,2.0,19
Montgomeryville,2.0,12
Kenneth City,2.5,3
Philadephia,3.0,1
Gretna,3.5,52
Furlong,3.0,1
Mt Ephraim,3.0,1
Ferguson,1.0,1
Wood River,5.0,1
Sun City Center,2.0,2
Merchantville,2.0,1
Brookhaven,5.0,2
Merion,4.5,1
West Berlin,1.5,1
Dade City,4.0,1
Eddystone,2.5,2
Brownsburg,4.5,25
Concordville,3.5,1
Saint Louis,2.0,160
Bellevue,4.0,3
Shrewsbury,2.5,1
Lawrence,3.5,4
Prospect Park,2.0,1
Speedway,4.5,13
Ridley Park,3.5,9
Smyrna,4.0,44
Mt.Juliet,2.0,1
Antioch,2.0,22
O Fallon,2.0,6
Gulfport,2.5,3
Oaks,5.0,1
St Charles,3.0,10
Rock Hill,1.5,1
Winchester,4.5,1
Garden City,5.0,12
South Pasadena,5.0,1
Jefferson,3.0,3
Brookhaven,1.5,2
reno,4.5,1
Harvey,2.0,17
St Pete Beach,3.0,8
Lawnside,3.5,2
Lawrenceville,2.5,2
Lakewood,4.0,1
Villanova,4.5,5
Safety Harbor,2.5,3
langhorne,1.5,1
Franklin,3.5,201
Collinsville,5.0,1
Stratford,5.0,1
Cedars,4.0,1
Avon,4.0,37
Pontoon Beach,1.5,1
Voorhees Township,3.5,16
Spanish Springs,4.0,3
Lederach,3.5,2
Apollo Beach,3.0,2
Largo,3.0,74
Gulfport,1.5,2
Coatesville,4.0,4
Haddon Heights,3.0,4
Oaklyn,3.0,3
East Nashville,4.5,1
Blackwood,3.0,14
Audubon,3.5,18
Port Richey,3.0,26
Washington Township,3.5,2
Montecito,5.0,11
Lula Lula,3.5,1
Collingdale,1.5,1
Nashville,3.5,904
Swarthmore,4.0,8
Glenmoore,5.0,1
Spring Hill,3.0,32
Sicklerville,2.0,12
Indian Rocks Beach,4.0,17
Oldsmar,3.0,19
Fenton,1.5,4
New Hope,1.5,3
Huntingdon Valley,1.5,2
Bellevue,2.0,3
Cherry Hill,3.0,120
Palmetto,3.5,4
Ewing,3.5,19
Berwyn,4.0,19
Woodbourne,4.5,1
Pineville,3.0,1
Gwynedd,3.5,1
Algiers,1.5,1
Cherry Hill,2.5,87
Evesham,4.5,2
Florissant,3.0,32
Hazelwood,2.0,7
Holicong,4.5,2
Upper Darby,1.5,11
Garden City,3.5,18
Fenton,1.0,5
New Castle,1.0,2
Troy,2.5,1
Land O'Lakes,3.5,1
Saint Petersburg,5.0,93
Medford,1.0,2
Shamong,4.0,4
North Redington Beach,1.5,1
Westmont,4.0,3
Gradyville,3.0,1
Boyertown,5.0,1
Upper Darby,3.0,15
Affton,4.0,5
Berry Hill,5.0,1
Feastville,4.5,1
Penns Grove,2.0,1
Holmes,2.5,4
Sewell,4.0,35
W. Berlin,3.0,1
Des Peres,2.5,6
Tucson,1.0,31
Trinity,4.5,13
Holland Southampton,4.0,1
Largo,2.0,39
Nashville ,4.5,1
Laurel Springs,4.0,7
Beverly,2.5,1
San Antonio,4.5,1
Wood River,4.5,1
Southampton Township,3.5,1
Ewing Township,2.5,4
Wilmington,3.0,149
Seminole,1.5,4
Arnold,2.0,10
Lemay Ferry,2.0,1
Hockessin,4.5,9
Penn Valley,3.0,1
Fairless Hills,4.5,8
Westwego,3.5,4
Haddonfield,3.0,11
Clermont,3.5,2
Trenton,1.5,7
Land O Lakes,4.5,10
Chalfont,3.5,17
Boothwyn,2.5,6
Gibbstown,5.0,1
Bellmawr,4.0,9
Warrington Township,4.0,1
Town N Country,5.0,2
Lindenwold,3.0,4
Woolwich Township,5.0,1
Saint Ann,1.5,3
Verdi,2.0,1
Carney's Point,2.5,1
O Fallon,3.5,5
Berwyn,5.0,5
Carmel,3.0,78
Conshohocken,5.0,10
Eaux Claires,1.5,1
Yardley,1.5,1
Philadelphia,3.5,1962
Dublin,3.5,1
Glenside,5.0,8
Belle Chase,3.5,1
West Conshohocken,3.0,1
Antioch,4.5,21
Pine Hill,1.0,1
Sicklerville,3.0,23
Fort Washington,2.5,3
Mount Laurel,1.0,1
Kulpsville,3.0,2
Indian Rocks Beach,5.0,3
East Tampa,3.0,1
Huntingdon Valley,2.0,4
Dunedin,1.0,1
Greenfield,1.5,1
Atco,3.5,1
Verdi,4.5,5
Yeadon,4.5,1
TUCSON AP,1.5,1
Granite City,2.0,3
Beaumont,3.0,1
Pinellas Park,3.5,51
Mount Juliet,2.0,5
Camden,3.0,6
Wimauma,3.5,1
Newtown,5.0,19
Tucson,2.0,407
Terra Ceia,5.0,1
Moorestown,4.5,21
Gloucester City,3.0,1
Clermont,4.0,1
Noblesville,3.0,4
Hendersonville,4.5,50
Stowe,4.0,1
Newfield,3.5,1
Redington Shore,3.0,1
Chesterfield,2.0,3
St  Louis,4.5,1
Gretna,4.0,43
Mt Juliet,5.0,1
Land O'Lakes,2.5,1
Upper Darby,4.5,26
Holmes,2.0,3
Elkins Park,3.0,7
Churchville,5.0,1
Hamilton,3.0,2
Prospect Park,1.5,1
Saint Louis,3.0,389
Alton,1.0,2
St. Petersburg,4.0,203
Pine Hill,4.0,2
Rosemont,4.5,5
Melrose Park,4.5,1
Westmont - Haddon Towsship,3.0,1
Bristol Twp,3.5,1
Belle Chasse,2.5,1
Upper Darby,1.0,3
Port Richey,2.0,15
kop,2.0,1
Holland,4.0,4
Ambler,1.5,2
Wimauma,4.0,2
Ardmore,4.5,55
Hainesport,4.0,10
Madison,3.5,27
Kirkwood,5.0,8
Paulsboro,1.5,1
Erdenheim,4.0,1
Collingswood,2.0,2
Edgewater Park,3.5,1
Freeburg,4.0,3
Penn Valley,5.0,1
saint petersburg,4.5,1
Audubon,1.0,2
Wallingford,5.0,1
Corona De Tucson,3.5,1
Philadelphia,4.0,2513
Trenton,2.5,8
Spring City,4.5,6
Marlton,2.0,15
Atco,2.5,1
Maryville,4.0,2
Mt Juliet,2.0,1
Florissant,4.5,30
Telford,1.5,2
Trenton,3.0,20
Overland,2.5,5
Trevose,3.0,5
Harrison Township,5.0,1
Hockessin,2.5,4
Mendenhall,3.0,2
TAMPA,2.5,3
Pinellas Park,4.5,66
Richmond Heights,4.0,16
Hatfield,2.5,10
Glen Carbon,3.0,4
Santa  Barbara,4.0,1
Fairview Heights,2.5,24
Pittsgrove,2.5,1
Carmel,4.0,151
Narberth,4.5,18
Wyncote,2.5,9
Cheltenham,4.5,4
Southampton,4.0,29
Palmyra,2.5,2
Sherwood Park,5.0,3
London Grove,4.0,1
Washington Township,2.5,1
Collingswood,3.5,20
Westville,5.0,1
Redingtn Shor,5.0,1
Apollo Beach,4.0,12
Corona de Tucson,5.0,1
Maryland Height,3.0,1
Madison,3.0,29
Sun City Center,3.5,4
Summerland,2.5,1
Pennsauken,2.0,3
Haddon Township,5.0,3
Norristown,4.5,47
Berwyn,4.5,9
Southport,2.0,1
Bordentown,5.0,3
Atco,4.5,2
tampa,4.0,1
Bridgeton,4.0,18
St. Ann,2.0,2
Flourtown,5.0,3
Plainfield,4.0,36
Earth City,4.0,2
King of Prussia,2.5,51
Elmwood,2.0,1
St.Petersburg,2.5,1
Turnersville,2.0,4
Southeast Edmonton,3.5,1
Pleasant View,2.5,2
Medford Lakes,5.0,1
Voorhees,2.5,20
Gibsonton,4.5,6
Caseyville,1.5,4
Hermitage,1.5,16
Coatesville,2.5,2
Collingdale,4.0,1
Edmonton,3.5,648
Garnet Valley,3.5,3
Warson Woods,3.0,2
Stratford,2.5,5
St Louis,4.5,55
Berlin,2.0,4
Affton,2.0,2
Tabernacle,3.0,2
New Orleans,1.5,89
Thorofare,3.0,2
New Port Richey,4.0,77
Frontenac,3.5,7
Virginia City,5.0,3
Kimberton,4.0,2
Oldsmar,1.5,11
Fairmount Park,1.0,1
Willingboro,2.0,6
Secane,4.0,4
Paoli,4.0,24
Odessa,3.0,10
Sappington,4.0,2
Bala Cynwyd,1.5,6
Fairmont City,4.0,1
Kimberton,4.5,2
Wilmington Manor,4.0,1
Rosemont,2.5,1
St.Louis,3.5,1
Real Goleta,2.0,1
Brownsburg,3.0,18
Pasadena,2.5,2
Corona De Tucson,4.0,1
Frazer,1.0,1
Mt Holly,3.5,1
Evshm Twp,4.5,1
Largo,4.5,115
Green Park,2.0,1
Tampa,1.0,66
Swedesboro,5.0,2
Whiteland,4.0,5
clearwater,4.0,1
Saint Rose,4.0,3
Feasterville,3.5,15
Maple Shade,3.5,23
Langhorne,2.5,33
New Hope,3.0,33
Pitman,4.5,10
Downingtown,2.5,18
Westville,3.5,6
Arnold,4.0,25
Spring Hill,2.0,20
Deptford,3.5,15
Colmar,5.0,1
St. Louis,5.0,83
Sewell,5.0,3
Woodbury,4.0,15
Somerdale,3.5,8
Castleton,3.5,2
Maryville,4.5,2
Plant City,1.5,15
Pennsville Township,4.0,1
University City,4.5,17
Marcus Hook,3.0,4
Temple Terrace,2.0,9
MacDill AFB,3.5,1
Kimmswick,2.5,1
Hermitage,4.5,32
Kingston Springs,4.0,3
Odessa,2.5,11
Brentwood,4.0,110
Morrisville,1.5,3
Valley Park,2.5,6
Hazelwood,1.5,5
Chester,3.5,3
Lawrence,3.0,1
Horsham,1.5,3
Shamong,4.5,3
Brandon,5.0,26
Millstadt,4.0,3
YARDLEY,4.5,1
Sicklerville,1.5,1
Colmar,4.5,4
Newport,4.5,1
Bryn Athyn,1.5,1
Whites Creek,3.5,1
Gloucester Township,4.0,3
East Alton,4.0,2
Treasure Is,4.0,1
Narberth,2.5,3
Newport,1.5,1
Metarie,3.5,1
Stowe,2.0,1
Brookhaven,3.5,7
Mount Holly,3.5,9
Thorofare,2.5,1
Chesterbrook,3.0,1
Ruskin,3.5,16
Troy,1.5,1
Shrewsbury,5.0,2
Goodlettsville,2.0,16
Zionsville,2.0,5
Nolensville,4.5,8
Thonotosassa,4.0,3
Earth City,1.0,1
Linwood,2.0,1
Thorofare,1.5,2
Levittown,1.0,3
Furlong,4.0,2
Blue Bell,3.0,17
Folcroft,4.0,5
Treasure Island,4.0,24
Wayne,4.0,61
Bala Cynwyd,3.0,21
Montecito,4.0,15
Pennsauken Township,5.0,1
Carpinteria,3.0,22
White House,3.0,3
Red Hill,5.0,1
Hartford,4.5,1
Nashville,5.0,396
Goleta,3.0,72
Collingswood,4.5,34
Berkeley,2.0,1
TAMPA,1.5,3
Lester,1.0,1
Bala Cynwyd,5.0,9
Bellmawr,4.5,3
Springfield,3.0,50
Pennsville,4.0,3
Indianpolis,2.5,1
NASHVILLE,2.0,2
Trooper,2.5,1
Upper Pottsgrove,3.0,1
Camby,4.0,3
Antioch,5.0,8
Colmar,4.0,1
Fenton,4.0,19
Blue Bell,5.0,4
Sun Valley,3.5,1
Brentwood,1.5,15
Cedar Brook,4.5,1
Schwenksville,4.5,10
Wesley Chapel,3.5,69
O' Fallon,2.5,1
Palmyra,4.5,7
Silverdale,5.0,1
N Redington Bch,4.0,1
St. Petersburg,3.0,80
Glenolden,4.5,2
Saint Louis,1.5,87
Hazelwood,4.5,5
Treasure Is,5.0,1
Sharon Hill,3.0,1
Chalmette,2.0,5
Merchantville,4.5,7
Treasure Island,2.5,2
Telford,1.0,1
Warminster,1.5,5
Eagle,2.0,9
Saint Peters,3.0,1
St.Charles,3.0,1
Crum Lynne,2.5,1
Reno,3.0,472
Audubon,3.0,6
Evesham Township,4.5,7
Riverview,3.5,72
Flourtown,3.0,4
Bridge City,3.0,1
Mooresville,1.5,1
Haddonfield,4.5,36
Montgomeryville,3.0,14
Somerdale,4.5,10
Des Peres,2.0,11
Westchase,3.0,2
Kulpsville,2.5,1
Tinicum Township,2.5,1
Schwenksville,5.0,1
Montgomeryville,4.5,11
Ivyland,3.0,1
O'Fallon,4.0,15
Oaklyn,1.5,2
Trenton,4.5,35
Waterloo,5.0,1
Woodstown,3.0,2
Wenonah,2.5,2
Buckingham,4.0,7
Valrico,4.0,32
Runnemede,2.5,12
St. Pete Beach,5.0,8
Lumberton,2.0,4
Arizona,5.0,1
Franklin,1.5,24
East Saint Louis,3.5,1
Elkins Park,2.0,1
West Deptford,1.5,2
Hamilton Township,4.0,3
Silverdale,3.0,1
Riverside,3.0,1
Santa Barbara,4.5,716
King Of Prussia,4.0,14
Sicklerville,2.5,19
Whitestown,5.0,3
Belleville,1.0,3
E. Norristown,3.0,1
Berlin Township,4.0,2
Garden City,2.0,3
Newtown,4.0,48
Ambler,3.0,14
Collegeville,3.5,42
Trinity,1.5,2
Harvey,4.5,28
Greenwood,1.5,9
Virginia City,3.0,1
Santa Ynez,5.0,1
SANTA BARBARA AP,2.0,1
Lansdale,1.0,1
King of Prussia,3.0,70
Warminster ,4.5,1
Tucson,1.5,193
Wesley Chapel,2.0,21
Spring City,4.0,5
Burlington,1.5,9
Jefferson,1.5,3
Maran,3.0,1
Mount Juliet,4.0,44
Tampa Bay,5.0,12
Hillsborough,4.0,1
Indian Rocks Beach. ,4.5,1
Willingboro,2.5,5
Downingtown,4.5,17
Glen Carbon,3.5,8
Narberth,5.0,7
Greenville,5.0,1
Town and Country,4.0,10
Saint Davids,3.5,1
Reno,2.5,338
Harahan,2.5,12
Lutz,1.0,1
Mt Juliet,4.0,3
Devon-Berwyn,2.5,1
Garden City,4.0,14
Aston,4.5,17
Elmer,4.0,1
Winslow Township,2.5,1
Arnold,1.5,7
South Cinnaminson,3.5,1
Wilmington Manor,5.0,1
Glenmoore,3.0,1
Philadelphia,4.5,2173
St Ann,2.5,1
Marshallton,2.0,1
Langhorne,3.5,34
Fortville,3.5,1
Clifton Heights,4.0,10
Seffner,5.0,2
Arnold,4.5,15
Meridian,4.0,153
Kenner,3.0,54
Land o Lakes,4.0,1
North Maple Shade,3.5,1
Lafayette Hill,4.5,7
Lutz,5.0,25
Saint louis,4.5,1
Shrewsbury,3.5,1
Fort Washington,3.0,4
Audubon ,4.5,1
ST. PETERSBURG,1.5,1
Ozona,4.5,2
Ruskin,3.0,16
Southampton,1.5,1
Aldan,3.5,4
Slidell,4.0,1
Ashland City,5.0,3
Jobstown,2.5,1
Jefferson,2.5,3
Goodletsville,4.0,1
Skippack,2.5,4
Green Park,3.5,1
Fishers,3.0,47
RIVERVIEW,5.0,1
Madison,4.5,24
Bensalem,4.5,28
Chalmette,3.0,6
Stratford,3.5,8
River Ridge,5.0,2
Lansdale ,4.0,1
Plymouth Meeting,3.0,28
Fenton,4.5,19
Marana,2.0,6
St. Petersburg,2.5,53
Pinellas Park,4.0,70
Meridian,5.0,41
Zionsville,2.5,8
O'fallon,1.5,1
Washington Crossing,3.5,2
Delran,1.0,2
Telford,4.5,3
Sun Valley,1.5,1
Chesterbrook,2.0,1
Gilbertsville,3.5,10
Marlborough,4.0,2
Safety  Harbor,4.5,1
Perkasie,4.5,10
Chester Springs,3.0,3
Voorhees Township,3.0,6
Dade City,3.5,1
East Norriton,4.5,8
Nampa,3.0,1
King of Prussia,1.5,8
Thorndale,3.0,7
Bucks County,3.5,1
Pemberton,5.0,1
Clearwater,4.5,291
Summerland,2.0,2
Lebanon,1.0,1
Hermitage,3.5,34
St Pete Beach,3.5,11
Columbia,1.5,1
Treasure Island,3.0,12
Cortaro,4.5,1
Woodbury Heights,3.5,4
Florence,3.5,1
St. Ann,2.5,1
Spring Hill,1.0,1
Fairview,3.5,1
Devon,2.0,5
Maryland Heights,3.5,34
Line Lexington,2.0,1
Truckee,4.5,1
Greenbrier,5.0,1
Swedesboro,4.0,15
Lumberton,2.5,6
Mount Juliet,3.0,24
Boyertown,3.5,5
Tampa - North,3.5,1
Nolensville,2.5,1
Brandon,1.0,5
Casas Adobes,4.0,1
Penndel,4.5,2
Boise City,3.0,1
Bala Cynwyd,2.0,11
High Ridge,2.5,2
Swedesboro,1.5,1
Newport,3.5,3
Southampton,3.5,17
Mullica Hill,3.5,11
Trappe,3.0,2
Mehlville,1.5,1
Wayne,2.0,7
Pittsgrove,3.5,1
Waterloo,2.5,3
Palm Harbor,4.0,111
Morrisville,4.0,17
Indianapolis,4.0,1163
Perkiomenville,4.0,2
Des Peres,5.0,5
Turnersville,3.0,17
Lutz,4.0,91
New Palestine,4.5,4
Indianapolis ,4.5,2
Waterloo,4.0,4
Summerland,4.5,9
Folsom,5.0,1
Clementon,2.5,13
Hernando Beach,4.5,1
Mount Ephraim,3.0,2
Berlin,3.5,11
CLEARWATER,3.0,1
Bristol,3.5,7
Collingswood,5.0,15
Carrollwood,4.5,1
St. Pete Beach,4.0,34
Abington,5.0,8
Drexel Hill,4.0,21
Magnolia,4.5,2
Martinsville,3.5,2
Swansea,2.0,1
Marana,2.5,7
Kennett Square,5.0,2
Devon,1.5,2
New Castle,2.0,20
Des Peres,4.0,21
East Norriton,2.5,9
Pennsville,3.5,8
Delran,2.0,8
Lawnside,4.0,2
Festerville,3.5,1
Levittown,3.0,21
Town and Country,1.5,2
Oakville,4.0,2
Bala Cynwyd,2.5,17
Blackwood,4.0,14
Royersford,4.5,20
New Hope,3.5,31
Cheltenham,3.5,4
riverview,4.5,1
Lutz,4.5,76
Wyndmoor,4.5,4
Casas Adobes,2.0,1
Wyndmoor,3.0,2
Land O' Lakes,4.0,14
Maryland Heights,3.0,26
Saint Ann,4.5,3
Alton,5.0,3
Joelton,4.0,2
Old Hickory,2.5,2
Swansea,1.0,1
Barrington,4.5,7
Newark,1.0,2
Chester Springs,4.0,6
Tucson,3.5,1193
Ruskin,4.5,10
Rosemont,3.5,1
Hazelwood,3.0,10
Bensalem. Pa,4.0,1
Thorndale,2.5,3
New Britain,4.0,2
Gladwyne,4.0,4
Terrytown,2.0,3
Terrytown,4.0,8
Bryn Mawr,2.0,8
East Lansdowne,4.0,1
Voorhees Township,1.0,1
Meraux,3.0,1
Souderton,3.5,9
Belleair Beach,3.5,2
Croydon,3.0,3
Southport,4.0,2
Camden,3.5,12
Holiday,4.0,14
Blackwood,2.0,7
Kenneth City,4.5,5
La Vergne,1.5,5
Hulmeville,4.5,1
Carversville,4.5,1
Havertown,1.5,4
Trevose,2.5,8
Haddon Heights,5.0,2
Cedars,4.5,2
New Orleans,2.0,155
Lester,4.0,1
Brooklawn,2.5,4
Blue Bell,2.0,5
Shrewsbury,2.0,1
Hammonton,4.0,6
Chester Springs,1.5,1
Phoenixville,2.5,21
Greenville,1.5,1
French Quarter - CBD,4.0,1
Philadelphia,1.0,73
Saint Charles,1.0,3
Folsom,2.0,3
Havertown,4.0,46
Plant City,2.0,10
Largo (Walsingham),3.5,1
Pennington,2.5,1
Safety Harbor,4.5,33
Hermitage,2.5,21
Oreland,2.5,2
Feasterville-Trevose,4.0,11
Florissant,1.0,2
Madeira Beach,3.0,10
Hi-Nella,4.5,1
Antioch,4.0,33
Pine Hill,4.5,1
New Palestine,4.0,1
Westampton,4.5,1
Bryn Mawr,3.0,22
TAMPA,3.5,3
New Castle,1.5,8
Glenolden,1.5,2
Sellersville,4.0,8
Bristol,4.0,15
Wrightstown,4.5,1
Columbia,2.0,2
Redington Shores,2.5,1
Mooresville,3.0,3
Holmes,3.5,5
Telford,3.5,3
University City,2.0,4
SAINT LOUIS AP,2.0,1
Swansea,2.5,2
nashville,3.5,1
Mount Juliet,2.5,28
RENO,2.5,1
College Place,4.5,1
Apollo Beach,4.5,19
Salem,2.5,1
Zephyrhills,4.5,15
Goodlettsville,5.0,3
Fort Washington,1.5,2
Wilmington,2.5,107
Maple Shade Township,4.0,2
Maryland Heights,1.5,2
Evesham,4.0,4
Palmyra,3.0,1
Holiday,3.5,13
Madeira Beach,3.5,23
Downingtown,2.0,11
Exton,2.0,24
Wynnewood,4.0,12
Granite City,4.5,8
Newtown Township,4.5,1
Maple Shade,3.0,14
Lindenwold,4.5,4
Glendora,4.0,4
Lafayette Hill,4.0,8
Morton,3.0,4
Mt. Laurel,4.0,4
Mount Laurel,3.0,41
Glen Carbon,4.0,5
Dade City,4.5,3
Laurel Springs,3.0,2
Bordentown Township,4.0,1
Santa Maria,5.0,1
Roslyn,3.5,1
Cinnaminson,5.0,2
maple shade nj,2.0,1
philadelphia,3.5,1
Masaryktown,4.5,2
Lansdale,3.5,55
Brandon,2.0,62
Mount Ephraim,4.5,1
Manchester,4.0,12
Newtown Square,5.0,6
Elkins Park,4.5,17
Glassboro,2.0,7
Brooklawn,1.5,1
Marlborough,2.0,1
Trappe,5.0,2
Collingdale,2.5,4
Dresher,3.0,7
South Pasadena,4.5,8
Trevose,1.5,3
St Petersburg,5.0,24
Downingtown,3.0,24
Telford,2.0,1
Maple Glen,3.0,2
Pinellas Park,2.5,45
New Palestine,3.0,1
Limerick,2.5,8
Donelson,3.0,1
Newport,4.0,3
Elmer,2.5,1
Abington,3.5,20
Sparks,1.5,34
McCordsville,3.5,5
Green Valley,3.0,9
Magnolia,5.0,2
Shrewsbury,4.0,2
Hockessin,2.0,1
Old Hickory,2.0,3
Manchester,2.5,13
Magnolia,3.5,4
Greenville,3.0,2
Zephyrhills,2.5,7
St. Pete Beach,2.5,3
Greater Carrollwood,4.5,1
Woodstown,3.5,2
Whites Creek,4.0,2
St Louis,1.0,1
Affton,2.5,4
Houston,1.5,1
Deptford,3.0,22
Donelson,4.5,1
Sun Valley,3.0,1
Nashville,2.0,287
Santa Barbara & Ventura Counties,3.5,1
Jefferson,4.5,11
Seminole,4.0,44
New Hope,2.0,6
Hammonton,4.5,2
Mt Holly,3.0,1
Harvey,5.0,7
Glen Carbon,5.0,1
NEWARK,4.5,1
CHELTENHAM,3.5,1
Brandon,3.5,124
Lutz,1.5,14
Chesterfield,3.5,27
Lithia,1.0,1
North Redington Beach,2.5,1
Clayton,1.0,1
Bryn Athyn,4.5,1
Dresher,4.5,4
Tabernacle,4.5,3
Barrington,3.5,2
Afton,4.0,1
Ambler,5.0,14
Saint Louis,3.5,679
Warrington,3.0,21
Trinity,2.5,5
Mt Juliet,2.5,4
Lawrence,1.5,1
New Port Richey,2.5,40
Earth City,2.5,3
Runnemede,1.0,1
Clearwater Beach,3.5,40
Washoe Valley,4.5,1
Sparks,1.0,6
Mascoutah,3.5,4
Thorndale,2.0,6
"Saint Louis,",4.0,2
Wesley Chapel,3.0,58
Maple Glen,5.0,3
Camden,4.0,9
South Pasadena,3.5,7
Belleville,3.5,32
Trinity,2.0,3
Madison,1.5,10
Pemberton,3.5,1
Shamong,5.0,1
Mont Clare,3.5,1
St.Petersburg,1.5,1
Levittown,2.0,11
High Ridge,2.0,2
Pottstown,4.5,28
Lansdowne,1.5,1
Land O Lakes,5.0,5
Blackwood,5.0,1
UPPER MORELAND,4.0,1
Mt Juliet,1.5,1
Wayne,2.5,23
Troy,2.0,3
Lumberton,3.5,5
Parkside,3.5,2
Westmont,2.5,4
Millstadt,3.5,4
Springfield,2.5,43
La Vergne,2.0,3
West Conshohocken,4.0,2
Lebanon,5.0,2
Ambler,3.5,30
Phoenixville,3.5,55
Lutz,3.5,65
Southport,2.5,1
Yeadon,3.0,4
Downingtown,5.0,7
Norristown,2.5,24
Mt. Ephraim,2.0,1
East Norriton,1.5,2
Deptford,4.0,10
Trappe,3.5,4
Moorestown,1.5,7
Lindenwold,2.5,2
"Old Hickory, TN",4.5,1
Brandon,4.0,134
Sewell,3.5,34
Mount Lemmon,3.5,2
Carmel,1.5,15
Woodbury Heights,2.5,1
Holmes,3.0,7
Jeffersonville,4.0,1
Florissant,4.0,25
Temple Terrace,3.5,16
Fishers,1.0,1
Greenwood,1.0,1
Oldsmar,5.0,12
West Hill,5.0,1
Morton,5.0,2
Yeadon,4.0,1
Saint Pete Beach,1.5,1
View,4.0,1
Westwego,5.0,6
Boise City,4.0,3
Montgomeryville,3.5,13
Maple Glen,3.5,3
Fairmont City,4.5,1
Saint Pete Beach,3.0,6
Santa Barbara,1.5,29
Carmel,2.0,17
Land O' Lakes,1.5,2
Bridgeton,5.0,4
Creve Coeur,3.0,37
Warwick,5.0,1
Levittown,3.5,28
Edwardsville,4.5,26
North Wales,2.5,19
Trappe,1.5,1
Frontenac,3.0,3
Jobstown,4.5,1
Marcus Hook,4.5,6
Woolwich Twp,3.5,1
Norristown,1.5,5
Harvey,2.5,32
Nashville,4.0,1155
Woodbury,1.0,1
East St. Louis,4.0,1
Eddystone,3.0,1
Granite City,1.5,1
Swansea,3.5,1
TUCSON,4.5,1
Burlington,4.5,11
O'Fallon,2.0,7
Frontenac,2.0,1
Haverford,4.0,6
Oaklyn,2.5,1
Crestwood,2.5,2
Mickleton,4.0,1
Mount Laurel Township,2.5,1
Lansdale,2.5,22
Scott Air Force Base,4.0,1
Lower Gwynedd,3.5,1
Camden,5.0,6
Jefferson,3.5,6
Berkeley,4.0,2
Boone,2.0,1
Sherwood Park,1.5,1
Mccordsville,4.0,2
Lebanon,2.0,1
Mehville,3.0,1
Washoe Valley,4.0,1
Harrison Township,3.5,1
St.Petersburg,2.0,4
Trooper,3.0,2
Bordentown,4.0,24
MARLTON,4.5,1
Webster Groves,3.5,13
Horsham,1.0,2
Penns Grove,2.5,1
Bridgeport,3.0,4
Birchrunville,4.0,1
Pleasant Township,4.0,1
Pipersville,4.5,4
New Castle,4.0,20
Twin Oaks,4.5,1
Clementon,1.5,1
Hainesport,3.5,5
Saint Pete Beach,4.5,14
Saint Petersburg,3.5,186
Pennsauken,1.0,1
Voorhees,3.5,42
St Petersburg,1.0,1
Lawrenceville,4.5,1
Plainfield,2.5,24
Hermitage,2.0,17
Bensalem,3.0,51
Westwego,2.5,3
St. Louis,3.5,151
Whitestown,4.5,3
New Castle,4.5,18
Hatboro,2.5,5
Granite City,3.0,4
River Ridge,3.0,3
Spring City,2.5,1
Castleton,3.0,2
Center Square,3.5,1
Frontenac,1.5,1
Mt Holly,4.5,1
frazer,2.5,1
Norwood,4.0,2
Furlong,4.5,3
Bridgeton,3.5,14
Mt. Juliet,2.0,4
Smyrna,3.5,42
White House,4.0,11
Wilmington,1.5,32
North Wales,2.0,10
Mascoutah,1.5,1
Haddon Township,3.0,4
Roxborough,2.5,1
Belleair,4.5,1
Horsham,5.0,8
Earlington,4.0,2
Quakertown,5.0,2
Des Peres,3.0,14
Doylestown,1.5,4
Trevose,2.0,2
